city,country,latitude,longitude,population,no_data,model_score_2026,model_score_2050,2026_thermique_exposure,2026_eau_exposure,2026_feux_exposure,2026_mer_exposure,2026_fleuves_exposure,2026_stabilite_exposure,2050_thermique_exposure,2050_eau_exposure,2050_feux_exposure,2050_mer_exposure,2050_fleuves_exposure,2050_stabilite_exposure
Hebian,CN,29.66,106.2,20037,False,87,79,20.0,0.0,3.5999999999999996,0.0,0.0,13.200000000000001,23.599999999999998,0.0,5.6000000000000005,0.0,0.0,32.800000000000004
Glazoué,BJ,7.97,2.22,20036,False,53,45,65.60000000000001,28.4,60.4,0.0,0.0,8.0,77.2,32.4,62.4,0.0,0.0,26.0
Frascati,IT,41.81,12.68,20036,False,72,64,10.4,26.400000000000002,40.8,0.0,0.0,26.8,12.4,32.4,46.400000000000006,0.0,0.0,51.2
Belfast,ZA,-25.69,30.04,20036,False,79,68,4.3999999999999995,29.599999999999998,26.0,0.0,0.0,24.8,2.8000000000000003,32.800000000000004,30.0,0.0,0.0,48.0
Calatayud,ES,41.35,-1.64,20035,False,50,46,20.4,70.8,50.4,0.0,15.2,29.599999999999998,22.8,74.0,50.8,0.0,15.2,56.39999999999999
Miamisburg,US,39.64,-84.29,20034,False,74,63,32.800000000000004,0.0,0.4,0.0,36.0,31.6,34.0,0.0,0.8,0.0,36.0,54.400000000000006
Tolú Viejo,CO,9.45,-75.44,20033,False,39,33,93.2,4.0,39.6,0.0,0.0,23.599999999999998,100.0,8.0,43.2,0.0,0.0,38.800000000000004
Wachtberg,DE,50.63,7.1,20032,False,83,72,16.400000000000002,2.8000000000000003,8.799999999999999,0.0,16.400000000000002,24.0,14.000000000000002,9.2,13.200000000000001,0.0,16.400000000000002,42.0
Cormano,IT,45.55,9.16,20031,False,81,68,18.8,0.0,10.0,0.0,0.0,29.2,21.2,2.8000000000000003,12.4,0.0,0.0,51.2
Emiliano Zapata,MX,17.74,-91.77,20030,False,40,29,85.6,0.0,5.6000000000000005,0.0,72.8,22.400000000000002,100.0,0.0,10.0,0.0,72.8,52.800000000000004
Gabane,BW,-24.67,25.78,20027,False,48,44,22.0,74.8,64.0,0.0,0.0,28.000000000000004,28.799999999999997,76.8,66.4,0.0,0.0,56.39999999999999
Ampthill,GB,52.03,-0.5,20026,False,87,78,13.200000000000001,10.4,15.2,0.0,0.0,18.0,11.200000000000001,15.2,19.2,0.0,0.0,32.800000000000004
Salgado,BR,-11.03,-37.48,20025,False,70,64,45.2,0.0,20.0,0.0,1.6,16.0,54.0,0.0,24.8,0.0,1.6,32.4
Flörsheim,DE,50.01,8.43,20023,False,61,59,16.0,23.599999999999998,18.0,0.0,56.39999999999999,26.0,14.799999999999999,29.2,24.0,0.0,56.39999999999999,44.800000000000004
Karuizawa,JP,36.35,138.63,20023,False,83,72,25.2,0.0,0.0,0.0,0.0,26.0,24.4,0.0,0.0,0.0,0.0,46.0
Bukit Beruntung,MY,3.42,101.56,20023,False,62,53,60.8,0.0,0.0,0.0,0.0,17.599999999999998,72.8,0.0,0.0,0.0,0.0,36.0
Palm Valley,US,30.18,-81.39,20019,False,61,58,30.0,0.0,7.6,53.2,18.4,24.4,37.2,0.0,6.800000000000001,54.800000000000004,18.4,44.4
